price,grade,zipcode_valormedio,sqft_living
850830,9,899607.6730769231,2070
555000,7,576834.808318264,1980
699950,8,682885.9898989899,2190
1090000,8,1356523.9905362776,2920
290000,7,353619.07472527475,1210
375000,8,353619.07472527475,2340
460000,7,576834.808318264,1670
188500,8,302896.7392857143,1240
680000,10,682885.9898989899,3140
470000,7,645244.2264808363,2030
597750,8,617053.9660194175,2310
570000,6,585048.7790697674,1260
272500,7,367091.48387096776,1540
329950,7,355678.51612903224,2080
480000,9,281194.8698060942,3230
740500,8,576834.808318264,4380
518500,8,585048.7790697674,1590
205425,6,310612.75572519086,880
171800,6,240328.3717472119,1570
535000,7,594706.5422740525,1610
660000,8,676419.3921568628,2400
391500,7,521740.0146788991,1450
395000,6,576834.808318264,770
445000,7,418019.36094674555,2100
770000,9,645244.2264808363,2910
1450000,8,1356523.9905362776,2750
445000,8,310612.75572519086,2100
260000,8,286742.81162324647,2160
822500,7,585048.7790697674,2320
430000,7,529629.7824675324,2070
212000,7,334921.0626780627,1060
660500,8,617053.9660194175,2010
784000,9,645244.2264808363,3950
453246,8,612642.738317757,2010
675000,9,579109.8082706766,2140
199000,7,294111.27857142856,1320
220000,7,294111.27857142856,2020
452000,8,462488.8692579505,2590
382500,6,469928.76772616134,1190
519950,8,579109.8082706766,1170
665000,7,849714.8097826086,1110
527700,8,859938.5542168674,2820
205000,7,353619.07472527475,1610
420000,7,387011.5902636917,1060
500000,8,859938.5542168674,2030
921500,9,682885.9898989899,3670
890000,8,880077.752293578,2550
430000,7,617053.9660194175,2420
258000,8,251296.24,2260
511000,7,585048.7790697674,1430
532170,8,585048.7790697674,1360
560000,7,579109.8082706766,1110
282950,7,294111.27857142856,1250
2250000,12,859938.5542168674,5180
350000,7,619944.1492281304,700
215000,7,353619.07472527475,1180
650000,9,420895.47536945814,3960
320000,8,286742.81162324647,2640
247000,7,316742.3905579399,1270
320000,8,493625.3098290598,1760
255000,7,359496.2604166667,2060
438000,7,521740.0146788991,1780
900000,10,790734.704735376,3400
441000,7,521740.0146788991,1910
420000,7,617053.9660194175,2020
370000,7,521740.0146788991,1580
269950,5,302896.7392857143,1340
807100,9,859938.5542168674,2680
653000,8,521740.0146788991,2680
371500,7,387011.5902636917,1370
284000,7,464322.38976377953,1560
272000,7,286742.81162324647,2160
313000,7,387011.5902636917,1340
917500,10,803990.8194444445,3880
673000,8,859938.5542168674,2590
425000,8,634558.1448275862,1120
399950,7,594706.5422740525,1970
385000,6,634558.1448275862,1220
269950,7,316742.3905579399,1950
330000,7,676419.3921568628,1350
260000,7,296187.98046875,1670
470000,7,424734.60451977403,2380
589000,7,521740.0146788991,2440
163500,7,367091.48387096776,1050
835000,9,645244.2264808363,3130
1100000,10,803990.8194444445,4090
269000,8,286742.81162324647,1490
560000,8,685675.8435374149,1900
615000,6,585048.7790697674,1330
585188,8,645244.2264808363,2230
305000,7,521740.0146788991,1650
166950,6,353619.07472527475,1190
799000,8,1194873.6382978724,2140
400000,7,387011.5902636917,2180
230000,7,423736.9058295964,1060
256883,8,286742.81162324647,1690
423000,7,355678.51612903224,1970
465000,8,424734.60451977403,2150
440000,7,586120.875,1910
385000,7,367091.48387096776,1350
210000,6,420895.47536945814,860
297000,8,311580.33638025593,1940
470000,7,579109.8082706766,1010
226500,7,286742.81162324647,1300
274250,6,493625.3098290598,910
840000,9,1194873.6382978724,2480
677900,8,645244.2264808363,2440
425000,7,618695.1090909091,1010
180250,6,464322.38976377953,900
464000,7,387011.5902636917,2300
320000,8,367091.48387096776,1550
625504,8,863228.9432314411,1270
592500,9,685675.8435374149,2240
465000,9,281194.8698060942,2714
477000,8,418019.36094674555,1720
280000,6,240328.3717472119,850
1510000,9,1194873.6382978724,3300
445838,8,359496.2604166667,2250
1070000,8,594706.5422740525,3900
467000,8,676419.3921568628,1320
686000,10,790734.704735376,2760
279950,7,302896.7392857143,1750
527000,8,490377.1076923077,2330
325000,8,296187.98046875,2220
328000,7,367091.48387096776,2020
390000,7,359496.2604166667,1250
479950,8,677215.034739454,1510
264950,7,286742.81162324647,1720
235000,7,300340.40293040295,1430
516500,7,677215.034739454,1480
655000,7,464322.38976377953,1450
500000,7,493625.3098290598,2280
315000,8,286742.81162324647,2940
213000,6,586120.875,1000
475000,7,355678.51612903224,2480
1030000,10,803990.8194444445,3760
416000,7,423665.99,2220
410000,7,634558.1448275862,1970
800000,10,682885.9898989899,3830
472000,9,294111.27857142856,4410
225000,7,294111.27857142856,1430
210000,6,424734.60451977403,830
455000,7,619944.1492281304,1430
225000,6,234284.0351758794,1300
480000,7,585048.7790697674,1030
363000,9,286742.81162324647,2740
2400000,9,685675.8435374149,3650
181000,6,319581.3940298507,720
250000,7,234284.0351758794,2010
481000,6,585048.7790697674,1560
260000,7,251296.24,1810
455000,9,353619.07472527475,3360
415000,8,440232.31363636366,1510
349500,7,418019.36094674555,1400
245000,7,296187.98046875,1730
592500,7,619944.1492281304,1420
385000,7,319581.3940298507,2360
315000,7,493625.3098290598,1580
255000,7,440232.31363636366,1230
693000,8,645244.2264808363,2460
780000,8,1096239.0074349442,1660
237000,7,302896.7392857143,1270
525000,10,685675.8435374149,2100
425000,5,594706.5422740525,770
369900,5,489382.0170940171,760
290000,7,300340.40293040295,1700
285000,7,319581.3940298507,1120
415000,7,619944.1492281304,1070
272500,8,286742.81162324647,2070
2900000,11,1356523.9905362776,5050
1370000,11,682885.9898989899,5310
436000,7,387011.5902636917,1040
210000,7,294111.27857142856,1700
236000,7,310612.75572519086,1300
331000,7,792187.8738170346,1080
365000,8,300340.40293040295,2653
450000,8,353619.07472527475,2290
770000,9,462488.8692579505,3820
455000,8,367091.48387096776,2210
405000,6,418019.36094674555,2390
304900,7,300340.40293040295,2600
170000,6,310612.75572519086,860
2050000,9,634558.1448275862,3830
780000,9,677215.034739454,3500
330000,8,462488.8692579505,2420
370000,9,296187.98046875,2720
467000,7,570073.5201465201,2500
405000,7,521740.0146788991,1670
675000,8,859938.5542168674,2900
500000,7,859938.5542168674,1640
389999,7,464322.38976377953,1890
630000,8,521740.0146788991,2950
360000,9,281194.8698060942,2160
580000,8,420895.47536945814,3280
550000,8,424734.60451977403,1970
879000,10,790734.704735376,3360
265000,7,311580.33638025593,1320
446500,8,493625.3098290598,2650
404000,7,355678.51612903224,2030
267500,7,289078.3455882353,1590
3080000,10,685675.8435374149,4550
335000,8,294111.27857142856,2440
576000,7,576834.808318264,1940
208633,8,367091.48387096776,2040
315000,7,464322.38976377953,2200
725000,8,1096239.0074349442,1920
550000,8,676419.3921568628,1800
610750,8,685675.8435374149,2180
550700,6,863228.9432314411,1010
665000,8,420895.47536945814,3320
834000,8,594706.5422740525,2370
201000,6,529629.7824675324,1660
2380000,10,849714.8097826086,3650
1380000,11,859938.5542168674,4290
1400000,11,859938.5542168674,4290
305000,8,353619.07472527475,1950
487000,8,387011.5902636917,2590
390000,8,311580.33638025593,1930
548000,7,585048.7790697674,1470
268750,6,464322.38976377953,800
819900,9,645244.2264808363,3150
520000,8,617053.9660194175,2030
230000,7,281194.8698060942,1450
240000,7,286742.81162324647,1510
232000,6,359496.2604166667,1240
240500,6,359496.2604166667,1240
274975,9,682885.9898989899,3030
740000,9,899607.6730769231,2050
186375,7,464322.38976377953,1000
790000,9,810289.6964285715,2370
880000,9,863228.9432314411,2800
279000,7,302896.7392857143,2240
295000,8,316742.3905579399,1810
640000,7,585048.7790697674,1070
940000,9,1194873.6382978724,2490
260000,7,367091.48387096776,1960
559900,9,570073.5201465201,2930
791500,7,585048.7790697674,1510
265000,7,387011.5902636917,1420
245000,7,310612.75572519086,1740
485000,7,645244.2264808363,2560
684000,9,493625.3098290598,3040
425000,8,469928.76772616134,2500
309600,6,489382.0170940171,1275
552250,8,529629.7824675324,2580
165000,6,310612.75572519086,1000
239900,6,310612.75572519086,1000
320000,6,493625.3098290598,1070
206600,7,296187.98046875,1390
387000,7,423736.9058295964,2500
299000,4,455617.1129032258,560
855000,9,1194873.6382978724,2270
315000,7,464322.38976377953,1900
437500,7,585048.7790697674,990
252000,7,281194.8698060942,1550
375000,7,418019.36094674555,2200
300000,7,367091.48387096776,1910
420000,7,859938.5542168674,1750
900000,7,803990.8194444445,1330
679900,9,618695.1090909091,2440
463000,7,677215.034739454,1640
380000,9,493625.3098290598,2760
329500,7,367091.48387096776,1820
604950,8,803990.8194444445,2110
795000,8,859938.5542168674,3040
465000,7,440232.31363636366,1840
673000,9,464322.38976377953,2990
810000,10,685675.8435374149,3520
785000,8,790734.704735376,2440
338000,7,420895.47536945814,2090
280000,7,420895.47536945814,1430
315000,7,387011.5902636917,2180
530000,7,387011.5902636917,2180
380000,9,286742.81162324647,3450
297000,7,420895.47536945814,1450
730000,10,790734.704735376,3230
450000,7,469928.76772616134,1640
275000,7,367091.48387096776,1590
595000,7,619944.1492281304,2020
435000,7,594706.5422740525,1300
270000,6,490377.1076923077,1380
950000,10,682885.9898989899,4040
389000,7,424815.06315789477,2130
560000,8,645244.2264808363,2550
1350000,11,859938.5542168674,4800
799000,8,1194873.6382978724,2510
365500,7,570073.5201465201,1410
252350,7,353619.07472527475,1650
403950,8,359496.2604166667,2120
385000,7,676419.3921568628,2040
345000,7,319581.3940298507,1550
490000,9,645628.2261484099,1980
330000,8,424815.06315789477,1600
927000,8,1356523.9905362776,3300
1120000,10,1194873.6382978724,3840
330000,7,462488.8692579505,1220
530000,7,645628.2261484099,2720
365000,8,859938.5542168674,1940
378750,7,418019.36094674555,2160
269900,7,353619.07472527475,1530
557000,8,634558.1448275862,1710
360000,7,316742.3905579399,3730
352000,7,576834.808318264,940
437000,8,440232.31363636366,1750
322500,7,367091.48387096776,1820
650000,9,618695.1090909091,1510
450000,8,585048.7790697674,1290
278500,7,334921.0626780627,1570
364950,8,304262.1082089552,1930
840000,10,367091.48387096776,2840
268000,7,300340.40293040295,1550
517534,5,489382.0170940171,833
632925,8,682885.9898989899,2990
577500,9,521740.0146788991,2000
339000,7,310612.75572519086,2390
570000,7,645244.2264808363,2910
563500,7,586120.875,2085
423000,7,387011.5902636917,2200
355000,8,424815.06315789477,1860
1550000,12,586120.875,6070
482000,7,585048.7790697674,950
625000,7,859938.5542168674,1600
538000,8,420895.47536945814,2250
380000,8,353619.07472527475,2280
375000,7,634558.1448275862,940
245000,7,367091.48387096776,1530
310000,7,464322.38976377953,2190
1300000,8,1356523.9905362776,2350
397000,7,521740.0146788991,1440
365000,8,353619.07472527475,2200
328500,9,311580.33638025593,2290
988000,11,645244.2264808363,4040
1000000,8,585048.7790697674,2610
237000,7,304262.1082089552,1490
525000,8,490377.1076923077,2450
749000,9,859938.5542168674,1710
722500,10,685675.8435374149,4870
843000,10,645244.2264808363,3130
438000,8,619944.1492281304,1270
578000,8,359496.2604166667,2120
227950,7,281194.8698060942,1670
196000,7,281194.8698060942,2070
641000,8,863228.9432314411,1420
350000,6,367091.48387096776,1250
205000,7,251296.24,940
400000,7,570073.5201465201,1920
1030000,10,617053.9660194175,3545
505000,7,521740.0146788991,1260
475000,7,521740.0146788991,2340
520000,8,462488.8692579505,2590
1450000,10,521740.0146788991,3970
333500,7,490377.1076923077,1220
232000,6,367091.48387096776,1400
691100,8,859938.5542168674,2360
811000,8,1194873.6382978724,1870
551000,9,462488.8692579505,2830
496500,8,570073.5201465201,2260
705000,9,489382.0170940171,1970
578000,9,304262.1082089552,3140
255000,7,311580.33638025593,1240
1050000,10,859938.5542168674,3450
348000,8,311580.33638025593,2570
230000,7,300340.40293040295,1510
359500,9,286742.81162324647,2390
330000,6,387011.5902636917,980
80000,4,455617.1129032258,430
465000,7,387011.5902636917,1480
325000,8,311580.33638025593,1850
340500,7,240328.3717472119,2270
342500,8,367091.48387096776,1810
290900,6,310612.75572519086,1610
868700,10,685675.8435374149,3840
1200000,9,469928.76772616134,4110
1150000,11,685675.8435374149,4190
859900,9,685675.8435374149,3390
520000,7,612642.738317757,1890
460000,9,418019.36094674555,1610
438924,7,619944.1492281304,1050
315000,5,424734.60451977403,630
590000,8,803990.8194444445,2910
378500,7,859938.5542168674,1700
328500,9,311580.33638025593,1950
849950,8,810289.6964285715,2990
525000,7,551768.5209125475,1350
1390000,9,685675.8435374149,4860
295000,8,286742.81162324647,2160
1070000,11,859938.5542168674,4860
207950,6,418019.36094674555,890
699900,9,790734.704735376,2810
1280000,8,617053.9660194175,3400
452000,7,645244.2264808363,1580
370000,7,304262.1082089552,1680
232000,7,311580.33638025593,1300
669950,7,521740.0146788991,2820
397500,7,521740.0146788991,1510
490000,8,1096239.0074349442,1230
725000,9,618695.1090909091,2110
299000,7,251296.24,3080
625000,7,618695.1090909091,1490
437500,7,529629.7824675324,2120
650000,9,529629.7824675324,3180
475000,7,576834.808318264,1490
342000,8,311580.33638025593,1930
1200000,10,803990.8194444445,2770
280000,7,304262.1082089552,1670
240000,7,289078.3455882353,1330
529000,7,579109.8082706766,1210
442000,7,551768.5209125475,1190
615000,7,849714.8097826086,1540
1490000,10,803990.8194444445,4030
585000,8,645244.2264808363,2430
480000,8,493625.3098290598,2600
1100000,9,677215.034739454,4410
290000,7,387011.5902636917,1330
615000,7,618695.1090909091,1900
300000,7,387011.5902636917,1100
308000,6,296187.98046875,1980
750000,9,803990.8194444445,2400
2250000,9,1096239.0074349442,4760
890000,10,493625.3098290598,3180
288000,6,353619.07472527475,1190
190000,6,310612.75572519086,630
515000,8,387011.5902636917,2530
235000,5,304262.1082089552,1690
275000,6,424734.60451977403,940
727500,7,1356523.9905362776,1240
650000,7,677215.034739454,3040
1600000,11,586120.875,6050
365000,6,469928.76772616134,1590
662000,9,645244.2264808363,2500
270500,7,367091.48387096776,1780
200000,7,334921.0626780627,1360
970000,10,790734.704735376,4740
160000,7,302896.7392857143,1010
204000,6,423665.99,1040
358000,7,353619.07472527475,1610
452000,7,490377.1076923077,1570
595000,7,585048.7790697674,1510
249000,7,311580.33638025593,1360
346900,8,304262.1082089552,1970
2130000,12,464322.38976377953,5403
280000,7,420895.47536945814,1560
318888,8,251296.24,2320
530000,8,790734.704735376,2120
375000,8,300340.40293040295,2120
910000,11,645244.2264808363,3350
782000,10,859938.5542168674,2380
259950,9,319581.3940298507,1070
315000,7,353619.07472527475,2300
215000,6,240328.3717472119,1320
705000,7,1194873.6382978724,2180
1450000,10,792187.8738170346,4380
451000,7,423736.9058295964,1790
261000,6,304262.1082089552,750
396000,7,462488.8692579505,1300
725000,9,493625.3098290598,2990
1950000,11,1194873.6382978724,4640
238000,7,289078.3455882353,1400
750000,8,645244.2264808363,2750
331500,7,311580.33638025593,2050
460000,7,529629.7824675324,2230
404950,8,334921.0626780627,2340
880000,9,585048.7790697674,2870
863000,10,685675.8435374149,4120
638700,7,810289.6964285715,2080
435000,7,677215.034739454,1840
260000,6,310612.75572519086,1180
671500,7,863228.9432314411,2160
610000,8,880077.752293578,1180
405000,6,455617.1129032258,1160
338900,7,367091.48387096776,1830
720000,10,790734.704735376,3200
442000,7,355678.51612903224,2560
650000,8,634558.1448275862,2550
263500,7,353619.07472527475,1330
300000,7,367091.48387096776,1220
266000,7,234284.0351758794,1805
930000,9,682885.9898989899,6050
530000,8,462488.8692579505,2320
180000,6,286742.81162324647,1384
619000,9,529629.7824675324,2720
264000,7,294111.27857142856,1820
730000,7,618695.1090909091,2130
439000,7,521740.0146788991,2060
268500,7,300340.40293040295,1420
330000,7,440232.31363636366,1510
640000,8,634558.1448275862,2160
900000,11,685675.8435374149,3180
370000,8,367091.48387096776,2110
685000,8,594706.5422740525,2060
505000,7,677215.034739454,1830
265000,7,316742.3905579399,1820
290000,8,304262.1082089552,1610
296000,7,367091.48387096776,1780
360000,7,310612.75572519086,1840
240500,7,240328.3717472119,1460
372500,8,424734.60451977403,1400
595000,9,440232.31363636366,3370
515000,9,286742.81162324647,3590
1220000,9,1194873.6382978724,3200
507000,8,677215.034739454,1670
399950,9,334921.0626780627,2420
185000,7,423665.99,1430
460000,7,645244.2264808363,1440
435500,7,612642.738317757,1450
469000,8,289078.3455882353,3550
531000,8,585048.7790697674,1270
443500,7,676419.3921568628,940
223000,7,311580.33638025593,1670
590000,8,462488.8692579505,3100
340000,7,585048.7790697674,1100
650000,8,792187.8738170346,1870
533600,8,612642.738317757,1930
695000,9,685675.8435374149,2540
242000,7,300340.40293040295,1280
425000,7,469928.76772616134,1820
525000,7,645244.2264808363,1490
485000,8,612642.738317757,1880
175000,7,440232.31363636366,1250
210000,8,334921.0626780627,1440
260000,7,300340.40293040295,1920
577000,7,618695.1090909091,2060
200000,7,234284.0351758794,1210
605000,7,576834.808318264,1760
325000,6,387011.5902636917,990
289500,6,310612.75572519086,960
559950,9,594706.5422740525,1660
1040000,8,619944.1492281304,1900
543500,7,792187.8738170346,1270
480000,9,311580.33638025593,3250
218000,6,316742.3905579399,960
565000,7,792187.8738170346,1330
426700,7,420895.47536945814,2080
650000,8,462488.8692579505,2690
542000,7,863228.9432314411,890
415000,7,645244.2264808363,1070
214000,6,234284.0351758794,1200
245000,7,289078.3455882353,1360
314500,8,294111.27857142856,2050
1120000,9,618695.1090909091,3000
378000,7,551768.5209125475,1300
305000,7,281194.8698060942,2250
595000,8,462488.8692579505,3740
729500,9,618695.1090909091,1660
430000,7,529629.7824675324,2360
240000,7,367091.48387096776,1760
545000,7,551768.5209125475,1680
530000,7,863228.9432314411,1320
157000,6,302896.7392857143,870
425000,6,359496.2604166667,1260
220000,6,464322.38976377953,1000
521000,8,682885.9898989899,2020
325000,7,418019.36094674555,1920
597500,7,424734.60451977403,2150
337000,7,529629.7824675324,1470
1000000,10,645244.2264808363,3180
3070000,8,521740.0146788991,3930
495000,6,863228.9432314411,990
748000,8,645244.2264808363,2770
888000,7,1356523.9905362776,1250
269900,7,440232.31363636366,1140
496500,7,617053.9660194175,2250
475000,7,423736.9058295964,1640
312000,7,469928.76772616134,1255
323000,7,570073.5201465201,1290
331000,7,493625.3098290598,1300
306000,8,387011.5902636917,1220
655000,8,576834.808318264,2630
290000,8,294111.27857142856,1950
1250000,9,863228.9432314411,3160
460000,7,619944.1492281304,1550
435000,7,619944.1492281304,1700
664000,8,859938.5542168674,2510
865000,8,899607.6730769231,1800
385000,8,353619.07472527475,1800
497000,7,521740.0146788991,1870
280000,7,440232.31363636366,1010
188000,6,310612.75572519086,1120
478500,8,551768.5209125475,2090
1150000,11,529629.7824675324,4370
222000,7,286742.81162324647,1440
799000,8,677215.034739454,2580
609900,10,367091.48387096776,3190
413000,7,319581.3940298507,2380
400000,7,619944.1492281304,1420
802541,9,859938.5542168674,2990
320000,8,286742.81162324647,2680
507000,7,529629.7824675324,2730
387500,6,619944.1492281304,1220
396000,7,570073.5201465201,1500
373000,8,304262.1082089552,1830
1480000,10,1194873.6382978724,4570
359900,8,353619.07472527475,2470
410000,6,619944.1492281304,800
690000,9,677215.034739454,2900
245000,7,296187.98046875,1410
700000,8,790734.704735376,2830
268000,7,302896.7392857143,1680
225000,7,311580.33638025593,1760
980000,8,1356523.9905362776,2240
795000,5,319581.3940298507,1380
195000,6,418019.36094674555,820
480000,6,810289.6964285715,2180
485000,7,849714.8097826086,1400
130000,5,289078.3455882353,880
325000,6,302896.7392857143,1060
440000,7,521740.0146788991,1530
550000,8,423736.9058295964,2480
310000,6,493625.3098290598,1490
530000,9,316742.3905579399,3660
390000,8,300340.40293040295,2340
243000,7,281194.8698060942,1450
639000,9,685675.8435374149,2210
215000,7,294111.27857142856,1130
405000,7,490377.1076923077,1550
250000,7,251296.24,1710
405500,7,423736.9058295964,1010
452000,7,469928.76772616134,2660
730000,7,469928.76772616134,2660
267000,7,423665.99,1300
289950,7,367091.48387096776,1670
565000,7,585048.7790697674,960
1580000,12,810289.6964285715,4670
636000,8,645244.2264808363,2140
350000,8,310612.75572519086,2520
320000,7,353619.07472527475,1650
210000,8,302896.7392857143,1440
245000,7,424734.60451977403,1050
328000,7,493625.3098290598,1470
985000,11,682885.9898989899,4230
501000,8,304262.1082089552,1970
315000,7,440232.31363636366,1540
403000,8,424815.06315789477,2090
550000,8,423736.9058295964,2380
347500,9,296187.98046875,2156
365000,8,353619.07472527475,2070
588000,8,576834.808318264,1910
605000,8,859938.5542168674,1920
1300000,9,863228.9432314411,3400
233000,7,281194.8698060942,1400
360000,8,296187.98046875,2210
459000,6,576834.808318264,1170
740000,9,682885.9898989899,2100
305000,7,682885.9898989899,1160
395000,6,576834.808318264,1500
560000,8,490377.1076923077,2940
650000,7,618695.1090909091,2010
449950,7,462488.8692579505,2170
517500,7,576834.808318264,1430
435000,7,521740.0146788991,1510
329999,6,423736.9058295964,1150
950000,8,618695.1090909091,2150
447000,7,355678.51612903224,1370
699800,8,677215.034739454,2380
850000,7,1096239.0074349442,1370
316500,7,286742.81162324647,1600
942500,9,859938.5542168674,3750
1310000,10,618695.1090909091,3950
856600,9,810289.6964285715,2400
405600,8,418019.36094674555,2830
565000,8,677215.034739454,2440
400000,8,618695.1090909091,1190
330000,7,424815.06315789477,1400
374950,7,367091.48387096776,2730
405300,7,420895.47536945814,2390
560000,8,685675.8435374149,2060
824000,8,1356523.9905362776,2490
260000,7,311580.33638025593,1100
760000,8,619944.1492281304,2430
405000,10,286742.81162324647,3170
429900,8,353619.07472527475,2640
341500,7,420895.47536945814,1130
465250,7,676419.3921568628,1940
450000,7,576834.808318264,1100
390000,7,859938.5542168674,1200
420000,8,645628.2261484099,2000
269950,8,240328.3717472119,1890
493000,7,634558.1448275862,1910
370000,9,334921.0626780627,2710
2250000,10,1096239.0074349442,4860
305000,7,493625.3098290598,1250
400000,6,521740.0146788991,1590
320000,8,387011.5902636917,1240
715000,7,585048.7790697674,2000
650000,8,645628.2261484099,3610
218000,8,286742.81162324647,1930
500000,7,576834.808318264,1280
460000,7,617053.9660194175,2090
232500,7,294111.27857142856,1940
408200,7,319581.3940298507,1800
522000,7,645244.2264808363,1730
675000,9,685675.8435374149,2810
1360000,11,859938.5542168674,3550
249950,6,240328.3717472119,1330
210000,6,240328.3717472119,750
429950,7,387011.5902636917,1760
737500,9,677215.034739454,3200
710000,8,803990.8194444445,1740
470000,8,529629.7824675324,2100
1100000,12,682885.9898989899,4270
650000,7,585048.7790697674,1340
1220000,9,859938.5542168674,3190
422120,8,521740.0146788991,1630
625000,9,490377.1076923077,2990
385200,6,424734.60451977403,1550
500000,8,612642.738317757,1690
308000,8,311580.33638025593,1960
565000,8,859938.5542168674,2390
581000,7,677215.034739454,2600
361000,8,311580.33638025593,1950
345000,7,645628.2261484099,1250
419000,8,634558.1448275862,1180
347000,7,420895.47536945814,1680
625000,9,790734.704735376,2220
2400000,11,1194873.6382978724,4890
379000,8,423665.99,2660
310000,7,612642.738317757,1150
250000,6,296187.98046875,1130
682000,9,493625.3098290598,2760
246500,7,316742.3905579399,1430
325000,5,334921.0626780627,1490
310950,8,300340.40293040295,2030
1100000,9,792187.8738170346,3010
287500,7,387011.5902636917,1810
431000,7,387011.5902636917,1810
226000,6,418019.36094674555,970
825000,7,585048.7790697674,2010
175000,6,240328.3717472119,1300
465750,7,645628.2261484099,1260
659000,8,790734.704735376,2610
595000,8,619944.1492281304,1910
350000,8,353619.07472527475,1780
270000,8,286742.81162324647,1900
662500,7,645628.2261484099,2450
249900,5,281194.8698060942,1380
324500,7,286742.81162324647,1920
430000,8,677215.034739454,1350
419950,8,677215.034739454,1350
285000,8,251296.24,2510
332000,8,334921.0626780627,2470
282000,7,240328.3717472119,1660
320000,7,387011.5902636917,1340
428750,7,859938.5542168674,1620
330000,8,316742.3905579399,2300
456500,8,676419.3921568628,2000
352000,8,493625.3098290598,1640
664000,7,863228.9432314411,1530
628000,9,490377.1076923077,4000
512000,7,645244.2264808363,1610
254000,7,286742.81162324647,2070
535800,8,612642.738317757,1900
287653,7,367091.48387096776,1050
438000,8,551768.5209125475,1520
450000,7,462488.8692579505,2390
327000,8,334921.0626780627,2400
370500,7,493625.3098290598,1790
265000,7,367091.48387096776,1720
450000,8,420895.47536945814,2980
425000,8,617053.9660194175,1520
166600,7,311580.33638025593,1150
245000,5,240328.3717472119,380
565000,7,619944.1492281304,910
539900,8,803990.8194444445,1650
910000,10,594706.5422740525,2480
280000,8,334921.0626780627,2050
275000,7,367091.48387096776,1420
467000,7,420895.47536945814,3460
457500,8,612642.738317757,1500
381156,7,418019.36094674555,1320
289999,8,334921.0626780627,2180
642450,7,594706.5422740525,1830
469950,7,617254.0212765958,1620
795000,8,803990.8194444445,2920
785000,10,685675.8435374149,3300
860000,10,859938.5542168674,3060
147500,7,300340.40293040295,1530
390000,7,490377.1076923077,1910
