bedrooms,bathrooms,sqft_living15,price,grade,zipcode_valormedio,sqft_living
3,2.5,2030,297000,8,311580.33638025593,1940
3,1.0,1680,470000,7,579109.8082706766,1010
3,1.5,1430,226500,7,286742.81162324647,1300
3,1.0,1400,274250,6,493625.3098290598,910
4,1.75,2770,840000,9,1194873.6382978724,2480
3,2.5,2750,677900,8,645244.2264808363,2440
3,1.0,1290,425000,7,618695.1090909091,1010
2,0.75,1250,180250,6,464322.38976377953,900
6,3.0,1560,464000,7,387011.5902636917,2300
4,2.25,1630,320000,8,367091.48387096776,1550
3,2.25,1160,625504,8,863228.9432314411,1270
4,2.5,2520,592500,9,685675.8435374149,2240
3,2.5,2590,465000,9,281194.8698060942,2714
4,2.75,2130,477000,8,418019.36094674555,1720
2,1.0,1100,280000,6,240328.3717472119,850
5,3.0,3836,1510000,9,1194873.6382978724,3300
3,2.5,1320,445838,8,359496.2604166667,2250
2,2.25,2580,1070000,8,594706.5422740525,3900
2,1.5,2120,467000,8,676419.3921568628,1320
4,2.5,3070,686000,10,790734.704735376,2760
3,2.0,1900,279950,7,302896.7392857143,1750
4,2.25,1910,527000,8,490377.1076923077,2330
3,2.25,2080,325000,8,296187.98046875,2220
3,2.25,2020,328000,7,367091.48387096776,2020
3,2.25,1280,390000,7,359496.2604166667,1250
2,2.0,1640,479950,8,677215.034739454,1510
4,2.25,1510,264950,7,286742.81162324647,1720
3,1.0,1960,235000,7,300340.40293040295,1430
3,2.5,2250,516500,7,677215.034739454,1480
2,1.75,2030,655000,7,464322.38976377953,1450
4,2.75,2280,500000,7,493625.3098290598,2280
6,2.75,2120,315000,8,286742.81162324647,2940
2,1.0,1150,213000,6,586120.875,1000
3,1.5,2090,475000,7,355678.51612903224,2480
5,4.0,3430,1030000,10,803990.8194444445,3760
3,2.0,2070,416000,7,423665.99,2220
4,1.0,1510,410000,7,634558.1448275862,1970
3,3.5,2920,800000,10,682885.9898989899,3830
6,2.5,2600,472000,9,294111.27857142856,4410
3,1.75,1190,225000,7,294111.27857142856,1430
2,1.0,830,210000,6,424734.60451977403,830
2,1.0,1450,455000,7,619944.1492281304,1430
3,1.0,1260,225000,6,234284.0351758794,1300
2,1.0,1390,480000,7,585048.7790697674,1030
3,2.5,2570,363000,9,286742.81162324647,2740
4,2.5,3120,2400000,9,685675.8435374149,3650
2,1.5,1150,181000,6,319581.3940298507,720
4,2.0,2010,250000,7,234284.0351758794,2010
3,1.75,1390,481000,6,585048.7790697674,1560
3,2.0,1750,260000,7,251296.24,1810
4,2.5,3060,455000,9,353619.07472527475,3360
3,2.25,1730,415000,8,440232.31363636366,1510
3,1.0,1620,349500,7,418019.36094674555,1400
3,2.5,1630,245000,7,296187.98046875,1730
2,2.0,1420,592500,7,619944.1492281304,1420
4,1.75,1910,385000,7,319581.3940298507,2360
3,1.75,1550,315000,7,493625.3098290598,1580
3,1.0,1380,255000,7,440232.31363636366,1230
4,2.5,2990,693000,8,645244.2264808363,2460
3,1.0,1660,780000,8,1096239.0074349442,1660
3,1.75,1600,237000,7,302896.7392857143,1270
3,2.25,2380,525000,10,685675.8435374149,2100
2,1.0,1330,425000,5,594706.5422740525,770
1,0.75,1230,369900,5,489382.0170940171,760
4,2.5,1950,290000,7,300340.40293040295,1700
3,1.0,1130,285000,7,319581.3940298507,1120
2,1.0,1320,415000,7,619944.1492281304,1070
3,2.5,2070,272500,8,286742.81162324647,2070
4,3.25,3890,2900000,11,1356523.9905362776,5050
4,4.75,4180,1370000,11,682885.9898989899,5310
2,1.0,1440,436000,7,387011.5902636917,1040
3,1.0,1350,210000,7,294111.27857142856,1700
3,1.0,1320,236000,7,310612.75572519086,1300
3,1.75,1440,331000,7,792187.8738170346,1080
3,2.5,2653,365000,8,300340.40293040295,2653
3,2.0,1660,450000,8,353619.07472527475,2290
4,2.75,1860,770000,9,462488.8692579505,3820
4,2.5,2670,455000,8,367091.48387096776,2210
3,1.75,2020,405000,6,418019.36094674555,2390
4,1.75,1720,304900,7,300340.40293040295,2600
2,1.0,1650,170000,6,310612.75572519086,860
5,3.0,3050,2050000,9,634558.1448275862,3830
4,2.5,3920,780000,9,677215.034739454,3500
3,3.0,2570,330000,8,462488.8692579505,2420
4,2.5,2410,370000,9,296187.98046875,2720
5,2.25,2300,467000,7,570073.5201465201,2500
3,1.75,1670,405000,7,521740.0146788991,1670
5,2.25,2310,675000,8,859938.5542168674,2900
2,1.0,1520,500000,7,859938.5542168674,1640
4,2.5,2410,389999,7,464322.38976377953,1890
4,1.75,2120,630000,8,521740.0146788991,2950
4,2.5,2280,360000,9,281194.8698060942,2160
4,3.0,2320,580000,8,420895.47536945814,3280
3,2.0,2390,550000,8,424734.60451977403,1970
4,2.5,3150,879000,10,790734.704735376,3360
3,2.0,1740,265000,7,311580.33638025593,1320
3,2.5,2400,446500,8,493625.3098290598,2650
3,1.5,2140,404000,7,355678.51612903224,2030
3,1.75,1630,267500,7,289078.3455882353,1590
4,5.0,4550,3080000,10,685675.8435374149,4550
3,2.5,2510,335000,8,294111.27857142856,2440
3,2.5,2190,576000,7,576834.808318264,1940
3,2.5,2370,208633,8,367091.48387096776,2040
3,2.25,1460,315000,7,464322.38976377953,2200
3,1.75,1740,725000,8,1096239.0074349442,1920
4,2.75,1800,550000,8,676419.3921568628,1800
4,2.25,2250,610750,8,685675.8435374149,2180
2,1.0,1460,550700,6,863228.9432314411,1010
4,2.75,2720,665000,8,420895.47536945814,3320
4,2.5,2440,834000,8,594706.5422740525,2370
5,1.75,1660,201000,6,529629.7824675324,1660
5,2.5,2880,2380000,10,849714.8097826086,3650
4,3.25,3860,1380000,11,859938.5542168674,4290
4,3.25,3860,1400000,11,859938.5542168674,4290
4,2.25,2150,305000,8,353619.07472527475,1950
3,2.0,1570,487000,8,387011.5902636917,2590
3,2.5,2350,390000,8,311580.33638025593,1930
2,1.0,1570,548000,7,585048.7790697674,1470
4,1.0,1310,268750,6,464322.38976377953,800
5,2.75,1560,819900,9,645244.2264808363,3150
3,2.25,2660,520000,8,617053.9660194175,2030
3,2.0,1520,230000,7,281194.8698060942,1450
3,1.75,1510,240000,7,286742.81162324647,1510
2,1.0,1820,232000,6,359496.2604166667,1240
2,1.0,1820,240500,6,359496.2604166667,1240
3,2.5,3080,274975,9,682885.9898989899,3030
4,2.0,2320,740000,9,899607.6730769231,2050
3,1.0,1150,186375,7,464322.38976377953,1000
3,2.25,2500,790000,9,810289.6964285715,2370
4,3.5,2370,880000,9,863228.9432314411,2800
6,1.75,1590,279000,7,302896.7392857143,2240
3,2.0,1910,295000,8,316742.3905579399,1810
2,1.0,1710,640000,7,585048.7790697674,1070
4,2.0,2770,940000,9,1194873.6382978724,2490
4,2.5,1800,260000,7,367091.48387096776,1960
3,2.75,2580,559900,9,570073.5201465201,2930
4,2.0,1820,791500,7,585048.7790697674,1510
3,1.75,1740,265000,7,387011.5902636917,1420
3,1.75,880,245000,7,310612.75572519086,1740
4,1.75,2560,485000,7,645244.2264808363,2560
4,3.5,3470,684000,9,493625.3098290598,3040
3,1.75,1580,425000,8,469928.76772616134,2500
4,1.75,1660,309600,6,489382.0170940171,1275
4,2.5,2380,552250,8,529629.7824675324,2580
4,1.0,1020,165000,6,310612.75572519086,1000
4,1.0,1020,239900,6,310612.75572519086,1000
2,1.0,1360,320000,6,493625.3098290598,1070
3,2.0,1720,206600,7,296187.98046875,1390
4,1.75,2040,387000,7,423736.9058295964,2500
1,0.75,1300,299000,4,455617.1129032258,560
4,2.75,2610,855000,9,1194873.6382978724,2270
3,1.0,1940,315000,7,464322.38976377953,1900
2,1.0,1930,437500,7,585048.7790697674,990
4,1.5,1640,252000,7,281194.8698060942,1550
4,1.75,1600,375000,7,418019.36094674555,2200
4,2.5,2010,300000,7,367091.48387096776,1910
4,1.0,1750,420000,7,859938.5542168674,1750
3,1.0,1340,900000,7,803990.8194444445,1330
3,2.5,1520,679900,9,618695.1090909091,2440
3,2.5,1580,463000,7,677215.034739454,1640
5,2.5,2470,380000,9,493625.3098290598,2760
4,2.5,1820,329500,7,367091.48387096776,1820
3,2.5,2040,604950,8,803990.8194444445,2110
5,2.5,2920,795000,8,859938.5542168674,3040
3,2.0,1380,465000,7,440232.31363636366,1840
4,2.5,2140,673000,9,464322.38976377953,2990
4,2.5,3400,810000,10,685675.8435374149,3520
4,2.75,2770,785000,8,790734.704735376,2440
4,3.0,1810,338000,7,420895.47536945814,2090
3,2.25,1430,280000,7,420895.47536945814,1430
4,2.25,1810,315000,7,387011.5902636917,2180
4,2.25,1810,530000,7,387011.5902636917,2180
5,3.0,2860,380000,9,286742.81162324647,3450
3,2.25,1650,297000,7,420895.47536945814,1450
4,2.5,3480,730000,10,790734.704735376,3230
3,1.75,1770,450000,7,469928.76772616134,1640
3,3.0,1680,275000,7,367091.48387096776,1590
4,2.0,1910,595000,7,619944.1492281304,2020
3,1.5,1590,435000,7,594706.5422740525,1300
2,1.5,3130,270000,6,490377.1076923077,1380
3,3.0,3360,950000,10,682885.9898989899,4040
4,2.25,2300,389000,7,424815.06315789477,2130
4,2.25,2420,560000,8,645244.2264808363,2550
5,3.5,4050,1350000,11,859938.5542168674,4800
4,2.25,2450,799000,8,1194873.6382978724,2510
3,2.0,1410,365500,7,570073.5201465201,1410
3,2.0,1710,252350,7,353619.07472527475,1650
4,2.5,1880,403950,8,359496.2604166667,2120
4,1.5,1610,385000,7,676419.3921568628,2040
4,1.0,1450,345000,7,319581.3940298507,1550
3,2.75,1950,490000,9,645628.2261484099,1980
3,2.5,1790,330000,8,424815.06315789477,1600
4,2.75,3180,927000,8,1356523.9905362776,3300
4,2.5,3600,1120000,10,1194873.6382978724,3840
2,1.0,2000,330000,7,462488.8692579505,1220
5,2.25,2110,530000,7,645628.2261484099,2720
4,2.0,2000,365000,8,859938.5542168674,1940
3,2.5,1060,378750,7,418019.36094674555,2160
4,1.75,1390,269900,7,353619.07472527475,1530
3,3.5,1630,557000,8,634558.1448275862,1710
4,1.75,1880,360000,7,316742.3905579399,3730
2,1.0,1560,352000,7,576834.808318264,940
3,2.5,2430,437000,8,440232.31363636366,1750
4,2.5,1820,322500,7,367091.48387096776,1820
3,3.25,1510,650000,9,618695.1090909091,1510
3,2.0,1290,450000,8,585048.7790697674,1290
3,2.0,1570,278500,7,334921.0626780627,1570
4,2.5,2090,364950,8,304262.1082089552,1930
4,3.5,3180,840000,10,367091.48387096776,2840
3,2.5,1550,268000,7,300340.40293040295,1550
2,1.0,1380,517534,5,489382.0170940171,833
3,2.5,2990,632925,8,682885.9898989899,2990
3,2.5,2450,577500,9,521740.0146788991,2000
4,1.5,2850,339000,7,310612.75572519086,2390
3,1.75,2520,570000,7,645244.2264808363,2910
4,1.75,2690,563500,7,586120.875,2085
4,2.25,1910,423000,7,387011.5902636917,2200
3,2.25,2320,355000,8,424815.06315789477,1860
5,4.25,4680,1550000,12,586120.875,6070
2,1.0,1320,482000,7,585048.7790697674,950
3,1.75,1580,625000,7,859938.5542168674,1600
3,2.5,2360,538000,8,420895.47536945814,2250
3,2.5,2310,380000,8,353619.07472527475,2280
2,1.0,1300,375000,7,634558.1448275862,940
3,2.5,1850,245000,7,367091.48387096776,1530
5,1.75,1620,310000,7,464322.38976377953,2190
3,2.0,3530,1300000,8,1356523.9905362776,2350
4,2.0,1460,397000,7,521740.0146788991,1440
3,2.5,2310,365000,8,353619.07472527475,2200
4,3.0,2290,328500,9,311580.33638025593,2290
4,3.0,3930,988000,11,645244.2264808363,4040
4,2.5,1810,1000000,8,585048.7790697674,2610
3,2.5,1490,237000,7,304262.1082089552,1490
4,2.5,2300,525000,8,490377.1076923077,2450
4,2.5,2140,749000,9,859938.5542168674,1710
5,2.5,3180,722500,10,685675.8435374149,4870
3,2.5,2860,843000,10,645244.2264808363,3130
2,2.0,1610,438000,8,619944.1492281304,1270
3,1.75,2460,578000,8,359496.2604166667,2120
3,1.5,2077,227950,7,281194.8698060942,1670
3,2.25,1890,196000,7,281194.8698060942,2070
2,1.0,2400,641000,8,863228.9432314411,1420
3,1.5,1930,350000,6,367091.48387096776,1250
3,1.0,1150,205000,7,251296.24,940
3,1.75,1920,400000,7,570073.5201465201,1920
3,2.5,3630,1030000,10,617053.9660194175,3545
3,2.0,1510,505000,7,521740.0146788991,1260
5,2.5,1930,475000,7,521740.0146788991,2340
3,2.25,2580,520000,8,462488.8692579505,2590
3,4.5,2610,1450000,10,521740.0146788991,3970
3,1.75,1630,333500,7,490377.1076923077,1220
3,1.0,1230,232000,6,367091.48387096776,1400
3,2.75,2120,691100,8,859938.5542168674,2360
3,1.75,1900,811000,8,1194873.6382978724,1870
3,2.5,2500,551000,9,462488.8692579505,2830
3,2.5,2350,496500,8,570073.5201465201,2260
3,3.0,2280,705000,9,489382.0170940171,1970
4,2.5,2460,578000,9,304262.1082089552,3140
3,1.75,1490,255000,7,311580.33638025593,1240
4,3.5,3220,1050000,10,859938.5542168674,3450
3,2.25,2400,348000,8,311580.33638025593,2570
3,2.0,1570,230000,7,300340.40293040295,1510
4,2.25,2480,359500,9,286742.81162324647,2390
3,1.0,1220,330000,6,387011.5902636917,980
1,0.75,1200,80000,4,455617.1129032258,430
3,1.75,1480,465000,7,387011.5902636917,1480
4,2.5,2100,325000,8,311580.33638025593,1850
3,2.0,1770,340500,7,240328.3717472119,2270
3,2.5,1810,342500,8,367091.48387096776,1810
2,2.0,1310,290900,6,310612.75572519086,1610
3,4.25,3230,868700,10,685675.8435374149,3840
4,2.75,2820,1200000,9,469928.76772616134,4110
4,3.25,4300,1150000,11,685675.8435374149,4190
4,2.75,3390,859900,9,685675.8435374149,3390
4,2.25,1580,520000,7,612642.738317757,1890
3,2.5,1610,460000,9,418019.36094674555,1610
3,1.5,1770,438924,7,619944.1492281304,1050
2,1.0,1420,315000,5,424734.60451977403,630
4,2.75,2920,590000,8,803990.8194444445,2910
4,1.75,1620,378500,7,859938.5542168674,1700
3,2.5,2350,328500,9,311580.33638025593,1950
3,3.0,2230,849950,8,810289.6964285715,2990
3,1.5,1730,525000,7,551768.5209125475,1350
4,3.25,3850,1390000,9,685675.8435374149,4860
4,2.5,2060,295000,8,286742.81162324647,2160
6,3.5,3600,1070000,11,859938.5542168674,4860
2,2.0,1860,207950,6,418019.36094674555,890
4,2.75,2820,699900,9,790734.704735376,2810
5,2.5,3080,1280000,8,617053.9660194175,3400
4,1.5,1560,452000,7,645244.2264808363,1580
3,2.0,1680,370000,7,304262.1082089552,1680
3,1.75,1300,232000,7,311580.33638025593,1300
5,2.5,1910,669950,7,521740.0146788991,2820
3,2.0,1660,397500,7,521740.0146788991,1510
2,2.5,1240,490000,8,1096239.0074349442,1230
4,2.0,1440,725000,9,618695.1090909091,2110
3,2.75,2424,299000,7,251296.24,3080
2,1.5,1590,625000,7,618695.1090909091,1490
3,2.5,2530,437500,7,529629.7824675324,2120
4,2.5,3030,650000,9,529629.7824675324,3180
2,1.0,1460,475000,7,576834.808318264,1490
3,2.0,2200,342000,8,311580.33638025593,1930
4,2.5,2720,1200000,10,803990.8194444445,2770
3,1.5,1930,280000,7,304262.1082089552,1670
2,1.75,1450,240000,7,289078.3455882353,1330
3,1.0,1640,529000,7,579109.8082706766,1210
3,1.0,1690,442000,7,551768.5209125475,1190
2,1.0,1420,615000,7,849714.8097826086,1540
4,3.75,2160,1490000,10,803990.8194444445,4030
4,1.75,1980,585000,8,645244.2264808363,2430
4,2.5,2830,480000,8,493625.3098290598,2600
5,3.5,2900,1100000,9,677215.034739454,4410
4,1.0,1220,290000,7,387011.5902636917,1330
3,1.75,1770,615000,7,618695.1090909091,1900
2,1.0,1460,300000,7,387011.5902636917,1100
3,1.0,1860,308000,6,296187.98046875,1980
3,2.5,2080,750000,9,803990.8194444445,2400
4,2.25,2950,2250000,9,1096239.0074349442,4760
4,3.25,2200,890000,10,493625.3098290598,3180
3,1.0,1190,288000,6,353619.07472527475,1190
2,1.0,1470,190000,6,310612.75572519086,630
5,3.0,2290,515000,8,387011.5902636917,2530
4,1.5,1690,235000,5,304262.1082089552,1690
2,1.0,940,275000,6,424734.60451977403,940
2,2.0,1380,727500,7,1356523.9905362776,1240
4,2.5,2740,650000,7,677215.034739454,3040
6,5.0,4210,1600000,11,586120.875,6050
4,1.0,1320,365000,6,469928.76772616134,1590
3,1.75,2590,662000,9,645244.2264808363,2500
3,2.5,1680,270500,7,367091.48387096776,1780
2,1.5,1360,200000,7,334921.0626780627,1360
4,3.25,3340,970000,10,790734.704735376,4740
3,1.5,1400,160000,7,302896.7392857143,1010
3,1.0,1580,204000,6,423665.99,1040
3,2.25,1780,358000,7,353619.07472527475,1610
4,1.75,1870,452000,7,490377.1076923077,1570
2,2.0,1920,595000,7,585048.7790697674,1510
3,2.0,1360,249000,7,311580.33638025593,1360
4,2.5,2230,346900,8,304262.1082089552,1970
3,2.5,3980,2130000,12,464322.38976377953,5403
4,2.5,1560,280000,7,420895.47536945814,1560
4,1.75,2120,318888,8,251296.24,2320
3,2.25,2480,530000,8,790734.704735376,2120
3,2.25,2120,375000,8,300340.40293040295,2120
4,2.5,3920,910000,11,645244.2264808363,3350
4,2.5,2560,782000,10,859938.5542168674,2380
2,2.0,1070,259950,9,319581.3940298507,1070
4,2.75,1870,315000,7,353619.07472527475,2300
2,1.0,1190,215000,6,240328.3717472119,1320
3,1.75,2180,705000,7,1194873.6382978724,2180
3,3.0,3080,1450000,10,792187.8738170346,4380
3,1.75,1520,451000,7,423736.9058295964,1790
2,1.0,1340,261000,6,304262.1082089552,750
3,1.5,1570,396000,7,462488.8692579505,1300
4,2.5,3715,725000,9,493625.3098290598,2990
7,3.5,3230,1950000,11,1194873.6382978724,4640
4,1.0,1310,238000,7,289078.3455882353,1400
